protein,ratio,average,,original,,E4 intensity,NS,NS normalised,dilution factor,normalised for dilution
FL,0,1,,1,,76015.22656,2,76015.22656,1,1
FL,0.1,0.69535446,,0.583775176,,63817.52734,2,63817.52734,1.191133999,0.69535446
FL,0.2,0.546393622,,0.371916196,,206966.5,8,51741.625,1.469131025,0.546393622
FL,0.3,0.404186342,,0.22359608,,168206.6406,8,42051.66015,1.807662915,0.404186342
FL,0.4,0.326055535,,0.149357759,,139282.5781,8,34820.64453,2.183050532,0.326055535
FL,0.5,0.259483938,,0.100417977,,235337.7344,16,29417.2168,2.584038697,0.259483938
FL,1,0.079089404,,0.008142519,,93912.26563,24,7826.022136,9.713137178,0.079089404
NT,0,1,,1,,20001.43945,2,20001.43945,1,1
NT,0.1,0.873950199,,0.882579239,,80795.70313,8,20198.92578,0.990222929,0.873950199
NT,0.3,0.672411804,,0.612314137,,72855.14063,8,18213.78516,1.098148423,0.672411804
NT,0.7,0.393205946,,0.364505475,,74166.0625,8,18541.51563,1.078738106,0.393205946
NT,1,0.303021857,,0.231661676,,61164.78906,8,15291.19727,1.308036193,0.303021857
NT,1.5,0.216704813,,0.14343219,,105908.1328,16,13238.5166,1.510852013,0.216704813
NT,2.5,0.109498017,,0.050066236,,109744.1016,24,9145.3418,2.187063085,0.109498017
CT,0,1,,1,,40738.80469,2,40738.80469,1,1
CT,0.1,0.967803736,,0.763937928,,32157.26172,2,32157.26172,1.266861745,0.967803736
CT,0.2,0.922653531,,0.675433556,,29823.06445,2,29823.06445,1.36601672,0.922653531
CT,0.3,0.928546782,,0.546319181,,47938.11328,4,23969.05664,1.699641555,0.928546782
CT,1,0.811886509,,0.283663986,,113869.4297,16,14233.67871,2.862141651,0.811886509
